P1SigVar,P1SigCrestFactor,P1SigMAD,P2SigVar,P2SigSkewness,P2SigMAD,P3SigVar,P3SigSkewness,P3SigMAD,PistSigVar,PistSigPeak,PistSigPeak2Peak,PistSigMAD,fault_type
567501361.3,1.001007507,21028.02697,32609700000000.0,-1.284048633,4763473.019,32633500000000.0,-1.283164861,4765933.187,0.029104941,0.49773756,0.49773756,0.142331036,2
407356744.7,1.000775969,17295.6897,30010600000000.0,-1.483392788,4411955.184,30030600000000.0,-1.482608221,4414065.972,0.015881362,0.383275267,0.383275267,0.101508137,2
570716816.0,1.001012085,21097.32832,32654300000000.0,-1.280611094,4769458.885,32678100000000.0,-1.279725425,4771918.868,0.029410293,0.500000004,0.500000004,0.143157566,2
338843717.7,1.000673566,15488.40853,28596800000000.0,-1.592882388,4218444.395,28614900000000.0,-1.592144423,4220370.871,0.01139756,0.332627768,0.332627768,0.08422875,0
62239204.87,1.000675481,6878.282295,28203400000000.0,-0.748431916,4561708.993,28213600000000.0,-0.748163138,4562633.232,0.011285429,0.33333334,0.33333334,0.091252665,1
573962945.5,1.001016702,21167.15053,32699000000000.0,-1.277158486,4775450.305,32722900000000.0,-1.276270906,4777921.948,0.029720177,0.502283109,0.502283109,0.143992168,2
577240301.5,1.001021371,21237.3691,32743900000000.0,-1.273690666,4781475.947,32767900000000.0,-1.272801158,4783947.347,0.030034681,0.50458716,0.50458716,0.144835103,2
55209171.7,1.000675485,6455.517198,27938600000000.0,-0.705408547,4546462.708,27948200000000.0,-0.705157527,4547330.119,0.011179275,0.333333338,0.333333338,0.090946602,1
580549169.9,1.001026072,21307.98893,32789000000000.0,-1.270207486,4787513.5,32813000000000.0,-1.269316035,4789996.558,0.030353893,0.506912446,0.506912446,0.145686531,2
583890130.9,1.001030824,21379.02072,32834200000000.0,-1.266708798,4793578.464,32858300000000.0,-1.265815389,4796061.218,0.030677906,0.509259263,0.509259263,0.146546315,2
